"sourceCode";"sourceName";"targetCode";"targetName"
"0102";"Grønland";"03012401";"Tøyen Rode 1"
"0102";"Grønland";"03012502";"Grønland Rode 2"
"0102";"Grønland";"03012503";"Grønland Rode 3"
"0102";"Grønland";"03012504";"Grønland Rode 4"
"0102";"Grønland";"03012507";"Grønland Rode 7"
"0102";"Grønland";"03012508";"Grønland Rode 8"
"0102";"Grønland";"03012509";"Grønland Rode 9"
"0103";"Enerhaugen";"03012505";"Grønland Rode 5"
"0103";"Enerhaugen";"03012506";"Grønland Rode 6"
"0103";"Enerhaugen";"03012601";"Kampen Rode 1"
"0103";"Enerhaugen";"03012605";"Kampen Rode 5"
"0103";"Enerhaugen";"03012803";"Gamlebyen Rode 3"
"0103";"Enerhaugen";"03012804";"Gamlebyen Rode 4"
"0104";"Nedre Tøyen";"03012408";"Tøyen Rode 8"
"0104";"Nedre Tøyen";"03012409";"Tøyen Rode 9"
"0104";"Nedre Tøyen";"03012602";"Kampen Rode 2"
"0104";"Nedre Tøyen";"03012604";"Kampen Rode 4"
"0104";"Nedre Tøyen";"03012606";"Kampen Rode 6"
"0105";"Kampen";"03012603";"Kampen Rode 3"
"0105";"Kampen";"03012607";"Kampen Rode 7"
"0105";"Kampen";"03012608";"Kampen Rode 8"
"0105";"Kampen";"03012609";"Kampen Rode 9"
"0105";"Kampen";"03012610";"Kampen Rode 10"
"0106";"Vålerenga";"03012701";"Vålerenga Rode 1"
"0106";"Vålerenga";"03012702";"Vålerenga Rode 2"
"0106";"Vålerenga";"03012703";"Vålerenga Rode 3"
"0106";"Vålerenga";"03012704";"Vålerenga Rode 4"
"0106";"Vålerenga";"03012705";"Vålerenga Rode 5"
"0106";"Vålerenga";"03012706";"Vålerenga Rode 6"
"0108";"Kværnerbyen";"03012801";"Gamlebyen Rode 1"
"0108";"Kværnerbyen";"03012802";"Gamlebyen Rode 2"
"0108";"Kværnerbyen";"03012805";"Gamlebyen Rode 5"
"0108";"Kværnerbyen";"03013513";"Ryenberget"
"0108";"Kværnerbyen";"03013514";"Nygårdskollen"
"0108";"Kværnerbyen";"03013515";"Kværner Nord"
"0108";"Kværnerbyen";"03013516";"Kværner Øst"
"0108";"Kværnerbyen";"03013517";"Kværner Sør"
"0109";"Bispevika";"03012902";"Loenga Sør"
"0109";"Bispevika";"03012903";"Loenga Nord"
"0109";"Bispevika";"03013001";"Grønlia"
"0109";"Bispevika";"03015701";"Øyene"
"0110";"Ensjø";"03014202";"Valle"
"0110";"Ensjø";"03014211";"Ensjø Øst"
"0110";"Ensjø";"03014212";"Ensjø Vest"
"0110";"Ensjø";"03014213";"Ensjø Nord"
"0110";"Ensjø";"03014214";"Ensjø Sør"
"0111";"Etterstad";"03014203";"Etterstad"
"0111";"Etterstad";"03014204";"Helsfyr"
"0111";"Etterstad";"03014210";"Brynseng"
"0201";"Grünerløkka vest";"03010207";"Sentrum 2  - Rode 7"
"0201";"Grünerløkka vest";"03010210";"Sentrum 2  - Rode 10"
"0201";"Grünerløkka vest";"03011305";"Gamle Aker Rode 5"
"0201";"Grünerløkka vest";"03012301";"Grünerløkka Rode 1"
"0201";"Grünerløkka vest";"03012302";"Grünerløkka Rode 2"
"0201";"Grünerløkka vest";"03012303";"Grünerløkka Rode 3"
"0202";"Grünerløkka øst";"03012304";"Grünerløkka Rode 4"
"0202";"Grünerløkka øst";"03012305";"Grünerløkka Rode 5"
"0202";"Grünerløkka øst";"03012306";"Grünerløkka Rode 6"
"0202";"Grünerløkka øst";"03012311";"Grünerløkka Rode 11"
"0202";"Grünerløkka øst";"03012312";"Grünerløkka Rode 12"
"0203";"Dælenenga";"03012007";"Torshov Rode 7"
"0203";"Dælenenga";"03012008";"Torshov Rode 8"
"0203";"Dælenenga";"03012202";"Rodeløkka Rode 2"
"0203";"Dælenenga";"03012313";"Grünerløkka Rode 13"
"0204";"Rodeløkka";"03012201";"Rodeløkka Rode 1"
"0204";"Rodeløkka";"03012203";"Rodeløkka Rode 3"
"0204";"Rodeløkka";"03012204";"Rodeløkka Rode 4"
"0204";"Rodeløkka";"03012205";"Rodeløkka Rode 5"
"0204";"Rodeløkka";"03012206";"Rodeløkka Rode 6"
"0204";"Rodeløkka";"03012207";"Rodeløkka Rode 7"
"0204";"Rodeløkka";"03012208";"Rodeløkka Rode 8"
"0205";"Sinsen";"03012101";"Sinsen Rode 1"
"0205";"Sinsen";"03012103";"Sinsen Rode 3"
"0205";"Sinsen";"03012104";"Sinsen Rode 4"
"0205";"Sinsen";"03012105";"Sinsen Rode 5"
"0205";"Sinsen";"03012106";"Sinsen Rode 6"
